"النص المصدر","ترجمة النص"
"LMS Question","سؤال نظام إدارة التعلم"
"LMS Program Member","عضو برنامج نظام إدارة التعلم"
"LMS Program Course","دورة برنامج نظام إدارة التعلم"
"LMS Program","برنامج نظام إدارة التعلم"
"LMS Payment","دفع نظام إدارة التعلم"
"LMS Option","خيار نظام إدارة التعلم"
"LMS Mentor Request","طلب مرشد في نظام إدارة التعلم"
"LMS Live Class","دورة تدريبية مباشرة في نظام إدارة التعلم"
"LMS Job Application","طلب وظيفة في نظام إدارة التعلم"
"LMS Exercise","تدريب نظام إدارة التعلم"
"LMS Enrollment","التسجيل في نظام إدارة التعلم"
"LMS Course Review","مراجعة دورة نظام إدارة التعلم"
"LMS Course Progress","تقدم دورة نظام إدارة التعلم"
"LMS Course Mentor Mapping","تعيين مرشد دورة نظام إدارة التعلم"
"LMS Course Interest","اهتمام دورة نظام إدارة التعلم"
"LMS Course","دورة نظام إدارة التعلم"
"LMS Certificate Request","طلب شهادة نظام إدارة التعلم"
"LMS Certificate Evaluation","تقييم شهادة نظام إدارة التعلم"
"LMS Certificate","شهادة نظام إدارة التعلم"
"LMS Category","فئة نظام إدارة التعلم"
"LMS Batch Timetable","جدول زمني لدفعة نظام إدارة التعلم"
"LMS Batch Old","دفعة نظام إدارة التعلم القديمة"
"LMS Batch","دفعة نظام إدارة التعلم"
"LMS Badge Assignment","تعيين شارة نظام إدارة التعلم"
"LMS Badge","شارة نظام إدارة التعلم"
"LMS Assignment Submission","إرسال مهمة نظام إدارة التعلم"
"LMS Assignment","مهمة نظام إدارة التعلم"
"LMS Assessment","تقييم نظام إدارة التعلم"
"LMS","نظام إدارة التعلم"
"Keywords for the course","الكلمات الرئيسية للدورة التدريبية"
"Join URL","رابط الانضمام"
"Join Meeting","الانضمام إلى الاجتماع"
"Job Settings","إعدادات الوظيفة"
"Job Opportunity","فرصة عمل"
"Job Openings","فرص العمل المتاحة"
"Job Details","تفاصيل الوظيفة"
"Job Board Title","عنوان لوحة الوظائف"
"Job Board Subtitle","عنوان فرعي للوحة الوظائف"
"Jane Doe","جين دو"
"Items removed successfully","تمت إزالة العناصر بنجاح"
"Items in Sidebar","العناصر الموجودة في الشريط الجانبي"
"Issued on","تم إصدارها في"
"Issued On","تم إصدارها في"
"Is SCORM Package","هل حزمة SCORM"
"Is Onboarding Complete","هل تم إكمال عملية التوجيه"
"Invite Request","طلب دعوة"
"Invite Only","دعوة فقط"
"Invite Email","بريد إلكتروني للدعوة"
"Invite Code","رمز الدعوة"
"Invalid Quiz ID","معرف اختبار غير صالح"
"Invalid Invite Code.","كود دعوة غير صالح."
"Instructors Comments","تعليقات المدربين"
"Instructor Notes","ملاحظات المدرب"
"Instructor Content","محتوى المدرب"
"Institution Name","اسم المؤسسة"
"Index Label","علامة الفهرس"
"Incorrect","غير صحيح"
"Incomplete","غير مكتمل"
"Include In Preview","تضمين في المعاينة"
"Image: Corrupted Data Stream","الصورة: دفق بيانات تالف"
"Image search powered by","البحث عن الصور مدعوم بواسطة"
"If you want open ended questions then make sure each question in the quiz is of open ended type.","إذا كنت تريد أسئلة مفتوحة، فتأكد من أن كل سؤال في الاختبار من النوع المفتوح."
"If you set an amount here, then the USD equivalent setting will not get applied.","إذا قمت بتعيين مبلغ هنا، فلن يتم تطبيق إعداد المكافئ بالدولار الأمريكي."
"If you have any questions or require assistance, feel free to contact us.","إذا كانت لديك أي أسئلة أو تحتاج إلى مساعدة، فلا تتردد في الاتصال بنا."
"If you fail to do so, the quiz will be automatically submitted when the timer ends.","إذا فشلت في القيام بذلك، فسيتم إرسال الاختبار تلقائيًا عند انتهاء المؤقت."
"If you are not any more interested to mentor the course","إذا لم تعد مهتمًا بتوجيه الدورة التدريبية"
"If Include in Preview is enabled for a lesson then the lesson will also be accessible to non logged in users.","إذا تم تمكين تضمين في المعاينة لدرس ما، فسيكون الدرس متاحًا أيضًا للمستخدمين غير المسجلين."
"I am unavailable","أنا غير متاح"
"I am looking for a job","أنا أبحث عن وظيفة"
"I am delighted to inform you that you have successfully earned your certification for the {0} course. Congratulations!","يسعدني أن أبلغك أنك حصلت بنجاح على شهادتك لدورة {0}. تهانينا!"
"I am currently working here","أنا أعمل هنا حاليًا"
"How to upload content from your system?","كيف أحمل محتوى من نظامك؟"
"How to add a YouTube Video?","كيف أضيف مقطع فيديو على YouTube؟"
"How to add a Quiz?","كيف أضيف اختبارًا؟"
"Hints","تلميحات"
"Hide my Private Information from others","إخفاء معلوماتي الشخصية عن الآخرين"
"Hi,","مرحبًا،"
"Hey,","مرحبًا،"
"Hey {0}","مرحبًا {0}"
"Here are a few courses we recommend for you to get started with {0}","إليك بعض الدورات التي نوصيك بالبدء بها {0}"
"Help us improve our course material.","ساعدنا في تحسين مادة الدورة التدريبية الخاصة بنا."
"Help others learn something new by creating a course.","ساعد الآخرين على تعلم شيء جديد من خلال إنشاء دورة تدريبية."
"Headline","العنوان الرئيسي"
"Grid Shortcuts","اختصارات الشبكة"
"Grant only once","منحة مرة واحدة فقط"
"Grade Type","نوع الدرجة"
"Grade Assignment","تعيين الدرجة"
"Google Meet Link","رابط Google Meet"
"Github ID","معرف Github"
"Get Started","البدء"
"Get Certificate","الحصول على شهادة"
"Generate Google Meet Link","إنشاء رابط Google Meet"
"GST Number","رقم ضريبة السلع والخدمات"
"GST Amount","مبلغ ضريبة السلع والخدمات"
"Full Time","دوام كامل"
"French (e.g. Distinction)","الفرنسية (على سبيل المثال، التميز)"
"Freelancer/Just looking","مستقل/باحث فقط"
"Freelance","مستقل"
"Free","مجاني"
"Frappe Support","دعم Frappe"
"Form to create and edit quizzes","نموذج لإنشاء الاختبارات وتحريرها"
"Field of Major/Study","مجال التخصص/الدراسة"
"Feel free to make edits to your submission if needed.","لا تتردد في إجراء تعديلات على إرسالك إذا لزم الأمر."
"Explore More","استكشف المزيد"
"Expiration Date","تاريخ انتهاء الصلاحية"
"Exercise Title","عنوان التمرين"
"Exercise Submission","تمرين تم تقديمه"
"Exercise Latest Submission","أحدث تمرين تم تقديمه"
"Exercise","تمرين"
"Example: IST (+5:30)","مثال: IST (+5:30)"
"Evaluator is Unavailable","المقيم غير متوفر"
"Evaluator Schedule","جدول المقيم"
"Evaluator Name","اسم المقيم"
"Evaluator","مقيم"
"Evaluation saved successfully","تم حفظ التقييم بنجاح"
"Evaluation end date cannot be less than the batch end date.","لا يمكن أن يكون تاريخ انتهاء التقييم أقل من تاريخ انتهاء الدفعة."
"Evaluation End Date","تاريخ انتهاء التقييم"
"Evaluation Details","تفاصيل التقييم"
"Enter the correct answer","أدخل الإجابة الصحيحة"
"Enter a title and save the quiz to proceed","أدخل عنوانًا واحفظ الاختبار للمتابعة"
"Enter a URL","أدخل عنوان URL"
"Enter Client Id and Client Secret in Google Settings to send calendar invites for evaluations.","أدخل معرف العميل والسر السري للعميل في إعدادات Google لإرسال دعوات التقويم للتقييمات."
"Enrollments","التسجيلات"
"Enrollment Failed","فشل التسجيل"
"Enrollment Count","عدد التسجيلات"
"Enrollment Confirmation for the Next Training Batch","تأكيد التسجيل للدفعة التدريبية التالية"
"Enrolled successfully","تم التسجيل بنجاح"
"Enrolled Students","الطلاب المسجلون"
"Enroll Now","التسجيل الآن"
"End Date (or expected)","تاريخ الانتهاء (أو المتوقع)"
"Enable this only if you want to upload a SCORM package as a chapter.","قم بتمكين هذا فقط إذا كنت تريد تحميل حزمة SCORM كفصل."
"Enable Learning Paths","تمكين مسارات التعلم"
"Enable Google API in Google Settings to send calendar invites for evaluations.","قم بتمكين واجهة برمجة تطبيقات Google في إعدادات Google لإرسال دعوات التقويم للتقييمات."
"Enable Certification","تمكين الشهادة"
"Emails","رسائل البريد الإلكتروني"
"Email Templates","قوالب البريد الإلكتروني"
"Education Details","تفاصيل التعليم"
"Education Detail","تفاصيل التعليم"
"Edit your profile","تحرير ملفك الشخصي"
"Edit the question","تحرير السؤال"
"Edit Lesson","تحرير الدرس"
"Edit Job","تحرير الوظيفة"
"Edit Course","تحرير الدورة"
"Edit Chapter","تحرير الفصل"
"Edit Batch","تحرير الدفعة"
"E-mail","البريد الإلكتروني"
"E-Mail","البريد الإلكتروني"
"Duration of the live class in minutes","مدة الفصل المباشر بالدقائق"
"Duration (in minutes)","المدة (بالدقائق)"
"Duplicate options found for this question.","تم العثور على خيارات مكررة لهذا السؤال."
"Dream Companies","شركات الأحلام"
"Discussions","المناقشات"
"Disable Self Learning","تعطيل التعلم الذاتي"
"Disable Self Enrollment","تعطيل التسجيل الذاتي"
"Deleting this lesson will permanently remove it from the course. This action cannot be undone. Are you sure you want to continue?","سيؤدي حذف هذا الدرس إلى إزالته نهائيًا من الدورة. لا يمكن التراجع عن هذا الإجراء. هل أنت متأكد من أنك تريد الاستمرار؟"
"Deleting this chapter will also delete all its lessons and permanently remove it from the course. This action cannot be undone. Are you sure you want to continue?","سيؤدي حذف هذا الفصل أيضًا إلى حذف جميع دروسه وإزالته نهائيًا من الدورة. لا يمكن التراجع عن هذا الإجراء. هل أنت متأكد من أنك تريد المتابعة؟"
"Deleting the course will also delete all its chapters and lessons. Are you sure you want to delete this course?","سيؤدي حذف الدورة أيضًا إلى حذف جميع فصولها ودروسها. هل أنت متأكد من أنك تريد حذف هذه الدورة؟"
"Delete this lesson?","حذف هذا الدرس؟"
"Delete this chapter?","حذف هذا الفصل؟"
"Delete Course","حذف الدورة"
"Delete Chapter","حذف الفصل"
"Degree Type","نوع الدرجة"
"Date and Time","التاريخ والوقت"
"Customisations","التخصيصات"
"Custom Signup Content","محتوى الاشتراك المخصص"
"Custom Script (JavaScript)","النص المخصص (JavaScript)"
"Current Lesson","الدرس الحالي"
"Create or edit a course for your learning system.","إنشاء أو تحرير دورة لنظام التعلم الخاص بك."
"Create and edit lessons for your course","إنشاء وتحرير الدروس لدورتك"
"Create a new question","إنشاء سؤال جديد"
"Create a course","إنشاء دورة"
"Create a Live Class","إنشاء فصل دراسي مباشر"
"Create a Course","إنشاء دورة"
"Create a Batch","إنشاء دفعة"
"Create Lesson","إنشاء درس"
"Create LMS Certificate Evaluation","إنشاء تقييم شهادة نظام إدارة التعلم"
"Create LMS Certificate","إنشاء شهادة نظام إدارة التعلم"
"Cover Image","صورة الغلاف"
"Courses deleted successfully","الدورات التي تم حذفها بنجاح"
"Courses Mentored","الدورات التي تم توجيهها"
"Courses Completed","الدورات المكتملة"
"Course {0} has already been added to this batch.","تمت إضافة الدورة {0} بالفعل إلى هذه الدفعة."
"Course updated successfully","تم تحديث الدورة بنجاح"
"Course moved successfully","تم نقل الدورة بنجاح"
"Course deleted successfully","تم حذف الدورة بنجاح"
"Course created successfully","تم إنشاء الدورة بنجاح"
"Course already added to the batch.","تمت إضافة الدورة بالفعل إلى الدفعة."
"Course added to program","تمت إضافة الدورة إلى البرنامج"
"Course Title","عنوان الدورة"
"Course Settings","إعدادات الدورة"
"Course Progress Summary","ملخص تقدم الدورة"
"Course Price","سعر الدورة"
"Course Outline","مخطط الدورة"
"Course List","قائمة الدورة"
"Course Lesson","درس الدورة"
"Course Instructor","مدرب الدورة"
"Course Image","صورة الدورة"
"Course Evaluator","مقيم الدورة"
"Course Enrollments","تسجيلات الدورة"
"Course Description","وصف الدورة"
"Course Creator","منشئ الدورة"
"Course Chapter","فصل الدورة"
"Correct Answer","الإجابة الصحيحة"
"Copy the URL of the video from YouTube and paste it in the editor.","انسخ عنوان URL للفيديو من YouTube والصقه في المحرر."
"Cookie Policy","سياسة ملفات تعريف الارتباط"
"Continue Learning","متابعة التعلم"
"Content is required","المحتوى مطلوب"
"Contact the Administrator to enroll for this course.","اتصل بالمسؤول للتسجيل في هذه الدورة."
"Congratulations on getting certified!","تهانينا على الحصول على الشهادة!"
"Confirmation Email Sent","تم إرسال بريد إلكتروني للتأكيد"
"Condition must be valid python code.","يجب أن يكون الشرط كود بايثون صالح."
"Condition must be in valid JSON format.","يجب أن يكون الشرط بتنسيق JSON صالح."
"Completions","الإكمالات"
"Completion Certificate","شهادة الإكمال"
"Complete Sign Up","اكمل الاشتراك"
"Company Website","موقع الشركة على الويب"
"Company Type","نوع الشركة"
"Company Email Address","عنوان البريد الإلكتروني للشركة"
"College Name","اسم الكلية"
"Collaboration Preference","تفضيل التعاون"
"Cohort Web Page","صفحة الويب للمجموعة الفرعية"
"Cohort Subgroup","المجموعة الفرعية"
"Cohort Staff","موظفو المجموعة الفرعية"
"Cohort Mentor","مرشد المجموعة الفرعية"
"Cohort Join Request","طلب الانضمام للمجموعة الفرعية"
"Cohort","المجموعة الفرعية"
"Cloud","السحابة"
"Click on the add icon in the editor and select Quiz from the menu. It opens up a dialog, where you can either select a quiz from the list or create a new quiz. When you select the Create New option it redirects you to the quiz creation page.","انقر فوق رمز الإضافة في المحرر وحدد الاختبار من القائمة. سيفتح مربع حوار، حيث يمكنك إما تحديد اختبار من القائمة أو إنشاء اختبار جديد. عند تحديد خيار إنشاء جديد، سيتم إعادة توجيهك إلى صفحة إنشاء الاختبار."
"Choose one answer","اختر إجابة واحدة"
"Choose an icon","اختر رمزًا"
"Choose all answers that apply","اختر جميع الإجابات التي تنطبق"
"Choices","الخيارات"
"Checkout Courses","دورات الخروج"
"Check out the {0} to know more about certification.","اطلع على {0} لمعرفة المزيد عن الشهادة."
"Check Discussion","التحقق من المناقشة"
"Chapters","الفصول"
"Chapter updated successfully","تم تحديث الفصل بنجاح"
"Chapter added successfully","تم إضافة الفصل بنجاح"
"Chapter Reference","مرجع الفصل"
"Certified Participants","المشاركون المعتمدون"
"Certification Name","اسم الشهادة"
"Certification Expires After (Years)","تنتهي صلاحية الشهادة بعد (سنوات)"
"Certification Details","تفاصيل الشهادة"
"Certificates","الشهادات"
"Certificate saved successfully","تم حفظ الشهادة بنجاح"
"Certificate Link","رابط الشهادة"
"Certificate Email Template","قالب بريد إلكتروني للشهادة"
"Career Preference Details","تفاصيل تفضيل المهنة"
"CGPA/4","CGPA/4"
"By","بحلول"
"Buy this course","شراء هذه الدورة"
"Business Owner","صاحب العمل"
"Billing Name","اسم الفاتورة"
"Best Regards","مع أطيب التحيات"
"Begin Date","تاريخ البدء"
"Batch end date cannot be before the batch start date","لا يمكن أن يكون تاريخ انتهاء الدفعة قبل تاريخ بدء الدفعة"
"Batch Updated","تم تحديث الدفعة"
"Batch Title","عنوان الدفعة"
"Batch Student","طالب الدفعة"
"Batch Start Date:","تاريخ بدء الدفعة:"
"Batch Settings","إعدادات الدفعة"
"Batch Old","الدفعة القديمة"
"Batch Evaluator","مقيم الدفعة"
"Batch Details Raw","تفاصيل الدفعة الخام"
"Batch Created","تم إنشاء الدفعة"
"Batch Course","دورة الدفعة"
"Batch Confirmation Template","قالب تأكيد الدفعة"
"Badges","الشارات"
"Badge Image","صورة الشارة"
"Badge Description","وصف الشارة"
"Badge","الشارة"
"Average Rating","متوسط ​​التقييم"
"Auto Recording","التسجيل التلقائي"
"Auto Assign","التعيين التلقائي"
"Attire Preference","تفضيلات الملابس"
"At least one option must be correct for this question.","يجب أن يكون هناك خيار واحد على الأقل صحيحًا لهذا السؤال."
"Assignment will appear at the bottom of the lesson.","سيظهر الواجب في أسفل الدرس."
"Assignment submitted successfully.","تم إرسال الواجب بنجاح."
"Assignment for Lesson {0} by {1} already exists.","الواجب للدرس {0} بواسطة {1} موجود بالفعل."
"Assignment Title","عنوان الواجب"
"Assignment Submission Template","قالب إرسال الواجب"
"Assignment Attachment","مرفق الواجب"
"Assessments","التقييمات"
"Assessment {0} has already been added to this batch.","تمت إضافة التقييم {0} بالفعل إلى هذه الدفعة."
"Assessment added successfully","تمت إضافة التقييم بنجاح"
"Assessment Type","نوع التقييم"
"Ask User Category during Signup","اسأل فئة المستخدم أثناء الاشتراك"
"Apps","التطبيقات"
"Apply for this job","التقدم لهذه الوظيفة"
"Apply Rounding on Equivalent","تطبيق التقريب على المكافئ"
"Apply GST for India","تطبيق ضريبة السلع والخدمات للهند"
"Applications Received","الطلبات المستلمة"
"Appears when the batch URL is shared on any online platform","تظهر عند مشاركة عنوان URL للدفعة على أي منصة عبر الإنترنت"
"Appears on the course card in the course list","تظهر على بطاقة الدورة في قائمة الدورة"
"Answer","إجابة"
"Announcements","إعلانات"
"Announcement has been sent successfully","تم إرسال الإعلان بنجاح"
"Announcement","إعلان"
"An open job board for the community","لوحة وظائف مفتوحة للمجتمع"
"Amount with GST","المبلغ مع ضريبة السلع والخدمات"
"Amount and currency are required for paid courses.","المبلغ والعملة مطلوبان للدورات المدفوعة."
"Amount and currency are required for paid batches.","المبلغ والعملة مطلوبان للدفعات المدفوعة."
"Amount (USD)","المبلغ (بالدولار الأمريكي)"
"Allow self enrollment","السماح بالتسجيل الذاتي"
"Allow accessing future dates","السماح بالوصول إلى التواريخ المستقبلية"
"Allow Self Enrollment","السماح بالتسجيل الذاتي"
"Allow Job Posting From Website","السماح بنشر الوظائف من موقع الويب"
"All your notifications in one place.","جميع إشعاراتك في مكان واحد."
"All questions should have the same marks if the limit is set.","يجب أن يكون لجميع الأسئلة نفس الدرجات إذا تم تعيين الحد."
"All participants that have been certified.","جميع المشاركين الذين تم اعتمادهم."
"All batches divided by categories","جميع الدفعات مقسمة حسب الفئات"
"All Submissions","جميع المشاركات"
"All Courses divided by categories","جميع الدورات مقسمة حسب الفئات"
"All Courses","جميع الدورات"
"All Batches","جميع الدفعات"
"Add your assignment as {0}","إضافة واجبك كـ {0}"
"Add web page to sidebar","إضافة صفحة ويب إلى الشريط الجانبي"
"Add at least one possible answer for this question: {0}","إضافة إجابة محتملة واحدة على الأقل لهذا السؤال: {0}"
"Add an existing question","إضافة سؤال موجود"
"Add an assessment","إضافة تقييم"
"Add a quiz to your lesson","إضافة اختبار إلى درس"
"Add a new question","إضافة سؤال جديد"
"Add a lesson","إضافة درس"
"Add a course","إضافة دورة"
"Add a chapter","إضافة فصل"
"Add a Student","إضافة طالب"
"Add a Lesson","إضافة درس"
"Add a Chapter","إضافة فصل"
"Add Slot","إضافة فتحة"
"Add Lesson","إضافة درس"
"Add Chapter","إضافة فصل"
"Achievements","الإنجازات"
"Account ID","معرف الحساب"
"Acceptance for Terms and/or Policies","قبول الشروط و/أو السياسات"
"A one line introduction to the course that appears on the course card","مقدمة من سطر واحد عن الدورة تظهر على بطاقة الدورة"
"Learning","التعليم"
